2025-11-14 08:09:00,958 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: test | Action: blocked | Event ID: c221090777552aad | Patterns: eval\s*\(, __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:09:48,450 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: test | Action: blocked | Event ID: ee97d1ff257ef743 | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:10:06,881 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: test | Action: blocked | Event ID: 6e155085c9230d7c | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:10:06,882 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: test | Action: blocked | Event ID: af773ec8a4e69999 | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:10:06,882 - reasoning_library.security - ERROR - [SECURITY] XSS_ATTEMPT | Severity: HIGH | Source: test | Action: blocked | Event ID: a0ea8c6dd709d908 | Patterns: <script[^>]*>, </script>, alert\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:10:06,882 - reasoning_library.security - WARNING - [SECURITY] PATH_TRAVERSAL | Severity: MEDIUM | Source: test | Action: blocked | Event ID: 708d1d26c270b729 | Patterns: \.\./, /etc/passwd - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:10:23,568 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: validation_test | Action: blocked | Event ID: b6bcbeef4f63f7ff | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:11:02,492 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: validation_test | Action: blocked | Event ID: 8d24cde828c3ba43 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:11:02,493 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: validation_test | Action: blocked | Event ID: 06b80bff872de755 | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:11:02,493 - reasoning_library.security - ERROR - [SECURITY] XSS_ATTEMPT | Severity: HIGH | Source: validation_test | Action: blocked | Event ID: 0ead16c65831d701 | Patterns: <script[^>]*>, </script>, alert\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:11:02,493 - reasoning_library.security - WARNING - [SECURITY] PATH_TRAVERSAL | Severity: MEDIUM | Source: validation_test | Action: blocked | Event ID: d5ed933cf54ccf01 | Patterns: \.\./, /etc/passwd - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:11:02,493 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: validation | Action: blocked | Event ID: cd519cd835c68ea2 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:12:04,752 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: bypass_test | Action: sanitized | Event ID: 4050bcbdfd157daa | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:12:04,752 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: bypass_test | Action: sanitized | Event ID: 484c185118a71bf7 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:12:04,752 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: bypass_test | Action: blocked | Event ID: a995db05c16f642a | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,752 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: bypass_test | Action: sanitized | Event ID: 5f9c097d9c2a002e | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,752 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: bypass_test | Action: blocked | Event ID: dba7df387d48d717 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,752 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: bypass_test | Action: blocked | Event ID: 5785aa7abced0496 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,774 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: comprehensive_test | Action: blocked | Event ID: 9f9820c64baa9e99 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,774 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: comprehensive_test | Action: blocked | Event ID: 7706d558ac4f3451 | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:12:04,774 - reasoning_library.security - ERROR - [SECURITY] XSS_ATTEMPT | Severity: HIGH | Source: comprehensive_test | Action: blocked | Event ID: fbd7c0f1b1163695 | Patterns: <script[^>]*>, </script>, alert\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:12:04,774 - reasoning_library.security - WARNING - [SECURITY] PATH_TRAVERSAL | Severity: MEDIUM | Source: comprehensive_test | Action: blocked | Event ID: ab1cbcefe416b04d | Patterns: \.\./, /etc/passwd - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:12:04,774 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: integration_test | Action: blocked | Event ID: b905a3c4ab765d20 | Patterns: eval\s*\(, __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:12:04,774 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: integration_test | Action: sanitized | Event ID: 2325f5fcde7d72b0 | Patterns: eval\s*\(, __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,749 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 87454f824558f331 | Patterns: __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,749 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: sanitized | Event ID: ac6b722f40408a7a | Patterns: __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,749 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 48491a418d16016f | Patterns: __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,750 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: sanitized | Event ID: a08fbbb1ad1cf74d | Patterns: __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,750 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: bcf2ce399d28d2c7 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,750 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 94a25df7454168a9 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:11:19,750 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 316325bec51a716e | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,751 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: b0557b26e9d07b5b | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,751 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: c2a1c043f2e32893 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,751 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: fb0cb77eb07ff605 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,751 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 25c45c57e13bc206 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:11:19,751 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 642e3bad9cdc89b7 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:12:03,127 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: validation_test | Action: blocked | Event ID: a1798eeaa091c2a2 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:12:03,128 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: validation_test | Action: blocked | Event ID: 0ab66fbe64f980ce | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 09:13:24,854 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 1d0ae5d39c4320e8 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,854 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: a2d7d50775d889d8 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,854 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: bbbefd73f4792f68 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,855 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 09060ddf3b7b3b2e | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,855 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: 91b2f80d391422e0 | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,855 - reasoning_library.security - WARNING - [SECURITY] SUSPICIOUS_PATTERN | Severity: MEDIUM | Source: unknown | Action: sanitized | Event ID: d938d6fa89f73eba | Patterns:  - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 2c32510d50549eb8 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: sanitized | Event ID: 9f7488cf95e7a68a | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 36436cae5da4e0de | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: sanitized | Event ID: 2c1a2be4c6548f21 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 658c5cc9b513eef8 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: d07933dc73538b5c | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: bf24f8b4e129000b | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 228743fb648a06b9 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 8b04e0e4cdacc7e0 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: aa8a718ba69aadf7 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 57377322dd993c38 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,855 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 9ec4218f9365d80e | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 29940ad2992de9ac | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 89dbe1ca5448f49b | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: b9659937e87a4e06 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 4a88c9b9c9c2dc34 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 890df93cdb599bd3 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 1e37d85e1131ec83 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: b616c100ae0e615e | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 7961a67880ffb474 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 26104fbcfb8c7307 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 5c01c2335db67146 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 85b264fa21ab2b62 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: d8bd774825235fec | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 81c90d938c9f978b | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 41530202486244f1 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: c1a72c61c1aeb54f | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 5bdb5cfe1ec87081 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 4bf77a5b001a2305 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 6690b107c46cfa82 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 1deabbef0ae87c26 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 9a5f159784ba86cb | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,856 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 2086702d21fecae2 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 19f279439e7cca47 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 1527611d5b57200c | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: e5d6b686d42392df | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 12852e4b7e531096 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: a0026a69bda3aa24 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: d40905ca1d4daf55 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: e8fec9d70c1cb545 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 09:13:24,857 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: unknown | Action: blocked | Event ID: 6c58723d3876240f | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
